network,station,longitude,latitude,color
BT,SJRS,-74.5832,4.86,midnightblue
BT,CHRL,-74.9733,4.2232,blue
BT,ICZO,-74.6003,4.1746,royalblue
BT,TUNJ,-73.3583,5.5333,dodgerblue
BT,ZIPA,-74.0693,5.0793,cadetblue
BT,USME,-74.1271,4.4811,slategray
BT,CUSI,-72.6811,5.0178,darkslategrey
BT,BUPI,-72.9694,4.5687,skyblue
BT,VCIO,-73.5926,4.1114,lightblue
